FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
,,,13260,VLEO,,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5,6,B1063,,
,,,13260,VLEO,,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5,6,B1052,,
,,,13260,VLEO,,True ASDS,14,True,True,True,5e9e3033383ecb075134e7cd,5,13,B1058,,
,,,13260,VLEO,,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5,5,B1067,,
,,,,SSO,,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5,0,B1072,,
,,,3938,GEO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,0,B1077,,
,,,13260,VLEO,,,,,,,,,,,,
,,,2200,SSO,,,,,,,,,,,,
,,,700,LEO,,,,,,,,,,,,
,,,3500,MEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,,ISS,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,678,TLI,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,180,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,1500,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,,ISS,,,,,,,,,,,,
